episode,ep_length,train_seconds,ep_env_score,ep_shaping_return,ep_final_bonus,epsilon
232,31.0,0.01306128827854991,0.0,0.0,0.0,0.6006298224153795
233,30.0,0.012425051536411047,1.0,0.0,0.0,0.5990100665738672
234,32.0,0.005670218961313367,3.0,0.0,0.0,0.5982915778947264
235,33.0,0.014950439566746354,0.0,0.0,0.0,0.5964991243044855
236,28.0,0.012185331201180816,0.0,0.0,0.0,0.594890507973775
237,35.0,0.01597056188620627,0.0,0.0,0.0,0.5927524322634214
238,33.0,0.011647800449281931,1.0,0.0,0.0,0.591153919870433
239,30.0,0.011747793294489384,1.0,0.0,0.0,0.5895597182853495
240,29.0,0.00798737583681941,3.0,0.0,0.0,0.5884993063797651
241,37.0,0.01055290107615292,2.0,0.0,0.0,0.5870883901732286
242,36.0,0.015246446942910552,0.0,0.0,0.0,0.5853295008095212
243,30.0,0.009627508232370019,3.0,0.0,0.0,0.5844520331968424
244,27.0,0.004958373960107565,3.0,0.0,0.0,0.5841014145776072
245,33.0,0.01557300821878016,1.0,0.0,0.0,0.5823514740531083
246,34.0,0.013857158599421382,1.0,0.0,0.0,0.5806067762685904
247,32.0,0.016157611971721053,0.0,0.0,0.0,0.5785200372317975
248,31.0,0.013858943246304989,0.0,0.0,0.0,0.5767868182528318
249,33.0,0.010700344806537032,2.0,0.0,0.0,0.5754039825200324
250,30.0,0.012133808806538582,1.0,0.0,0.0,0.5738522547717025
251,36.0,0.0140773830935359,1.0,0.0,0.0,0.5721330202507139
252,32.0,0.016071052057668567,0.0,0.0,0.0,0.5702478107950131
253,33.0,0.01332244323566556,1.0,0.0,0.0,0.5685393750196287
254,33.0,0.01595464814454317,0.0,0.0,0.0,0.5664960070186006
255,32.0,0.015180954011157155,0.0,0.0,0.0,0.5646293718284482
256,26.0,0.010760144097730517,0.0,0.0,0.0,0.5632756833486775
257,33.0,0.011949386447668076,1.0,0.0,0.0,0.5617566627399159
258,32.0,0.0067437794059515,3.0,0.0,0.0,0.560914533175151
259,33.0,0.009672412881627679,2.0,0.0,0.0,0.5597376722540457
260,35.0,0.018849643412977457,0.0,0.0,0.0,0.557725938153106
261,37.0,0.016722024185582995,0.0,0.0,0.0,0.5557214343571706
262,33.0,0.01114104245789349,2.0,0.0,0.0,0.5543891024927925
263,31.0,0.009561471873894334,2.0,0.0,0.0,0.5532259326492208
264,31.0,0.014183534076437354,0.0,0.0,0.0,0.5515684936247894
265,29.0,0.01209680805914104,1.0,0.0,0.0,0.5500810445235275
266,36.0,0.012214328395202756,2.0,0.0,0.0,0.5485976067188758
267,30.0,0.010765493614599109,1.0,0.0,0.0,0.5472823540995511
268,32.0,0.006839634384959936,3.0,0.0,0.0,0.5464619229747766
269,27.0,0.012527731247246265,0.0,0.0,0.0,0.5449882450805571
270,32.0,0.004135698778554797,3.0,0.0,0.0,0.5444979027920962
271,40.0,0.016417923849076033,1.0,0.0,0.0,0.5425409414274518
272,35.0,0.012255817418918014,2.0,0.0,0.0,0.5410778374883188
273,30.0,0.01192902633920312,1.0,0.0,0.0,0.5397806133766946
274,26.0,0.002720796037465334,3.0,0.0,0.0,0.5394567935889238
275,32.0,0.013791191391646862,0.0,0.0,0.0,0.5378406062612485
276,30.0,0.01252525090239942,0.0,0.0,0.0,0.5363901780086336
277,31.0,0.015364238526672125,0.0,0.0,0.0,0.5346227431644013
278,27.0,0.012214827118441463,0.0,0.0,0.0,0.5331809927235666
279,32.0,0.005418559303507209,3.0,0.0,0.0,0.5325414633924552
280,35.0,0.0111591387540102,2.0,0.0,0.0,0.5312647050799004
