episode,ep_length,ep_env_return,ep_shaping_return,ep_final_bonus
230,103.0,3.0,0.0,0.0
231,110.0,3.0,0.0,0.0
232,120.0,3.0,0.0,0.0
233,116.0,0.0,0.0,0.0
234,97.0,1.0,0.0,0.0
235,135.0,3.0,0.0,0.0
236,103.0,2.0,0.0,0.0
237,105.0,3.0,0.0,0.0
238,121.0,0.0,0.0,0.0
239,117.0,3.0,0.0,0.0
240,122.0,2.0,0.0,0.0
241,105.0,0.0,0.0,0.0
242,116.0,3.0,0.0,0.0
243,99.0,3.0,0.0,0.0
244,116.0,2.0,0.0,0.0
245,97.0,3.0,0.0,0.0
246,106.0,3.0,0.0,0.0
247,83.0,3.0,0.0,0.0
248,101.0,0.0,0.0,0.0
249,99.0,1.0,0.0,0.0
250,123.0,3.0,0.0,0.0
251,106.0,0.0,0.0,0.0
252,121.0,3.0,0.0,0.0
253,96.0,3.0,0.0,0.0
254,109.0,0.0,0.0,0.0
255,93.0,1.0,0.0,0.0
256,109.0,3.0,0.0,0.0
257,106.0,0.0,0.0,0.0
258,91.0,3.0,0.0,0.0
259,91.0,2.0,0.0,0.0
260,105.0,1.0,0.0,0.0
261,85.0,2.0,0.0,0.0
262,97.0,0.0,0.0,0.0
263,113.0,1.0,0.0,0.0
264,104.0,3.0,0.0,0.0
265,98.0,2.0,0.0,0.0
266,114.0,2.0,0.0,0.0
267,89.0,1.0,0.0,0.0
268,131.0,1.0,0.0,0.0
269,101.0,0.0,0.0,0.0
270,124.0,1.0,0.0,0.0
271,112.0,0.0,0.0,0.0
272,124.0,3.0,0.0,0.0
273,98.0,0.0,0.0,0.0
274,100.0,1.0,0.0,0.0
275,110.0,0.0,0.0,0.0
276,114.0,3.0,0.0,0.0
277,105.0,1.0,0.0,0.0
278,110.0,1.0,0.0,0.0
279,117.0,1.0,0.0,0.0
280,99.0,3.0,0.0,0.0
281,116.0,1.0,0.0,0.0
282,104.0,3.0,0.0,0.0
283,129.0,2.0,0.0,0.0
284,102.0,3.0,0.0,0.0
285,115.0,1.0,0.0,0.0
286,101.0,1.0,0.0,0.0
287,108.0,1.0,0.0,0.0
288,112.0,0.0,0.0,0.0
