episode,wall_s,steps,p0_transitions,p1_transitions,p2_transitions,p3_transitions,p0_train_calls,p1_train_calls,p2_train_calls,p3_train_calls,eps_p0,eps_p1,eps_p2,eps_p3
55,0.118118,79,21,17,23,18,21,17,23,18,0.1,0.1,0.1,0.1
56,0.117319,85,22,16,25,22,22,16,25,22,0.1,0.1,0.1,0.1
57,0.115074,74,20,21,14,19,20,21,14,19,0.1,0.1,0.1,0.1
58,0.107457,70,20,16,16,18,20,16,16,18,0.1,0.1,0.1,0.1
59,0.098936,64,17,17,10,20,17,17,10,20,0.1,0.1,0.1,0.1
60,0.12318,80,19,20,23,18,19,20,23,18,0.1,0.1,0.1,0.1
61,0.120356,77,19,18,18,22,19,18,18,22,0.1,0.1,0.1,0.1
62,0.090858,70,18,19,16,17,18,19,16,17,0.1,0.1,0.1,0.1
63,0.102213,79,16,20,23,20,16,20,23,20,0.1,0.1,0.1,0.1
64,0.114599,89,24,25,22,18,24,25,22,18,0.1,0.1,0.1,0.1
65,0.118657,85,22,22,20,21,22,22,20,21,0.1,0.1,0.1,0.1
66,0.121066,85,21,24,18,22,21,24,18,22,0.1,0.1,0.1,0.1
67,0.095108,69,18,14,16,21,18,14,16,21,0.1,0.1,0.1,0.1
68,0.095678,72,16,18,19,19,16,18,19,19,0.1,0.1,0.1,0.1
69,0.109296,82,21,19,23,19,21,19,23,19,0.1,0.1,0.1,0.1
70,0.108092,83,23,22,18,20,23,22,18,20,0.1,0.1,0.1,0.1
71,0.113452,87,24,21,25,17,24,21,25,17,0.1,0.1,0.1,0.1
72,0.100131,77,18,19,20,20,18,19,20,20,0.1,0.1,0.1,0.1
73,0.095647,74,21,15,19,19,21,15,19,19,0.1,0.1,0.1,0.1
74,0.095209,73,21,18,15,19,21,18,15,19,0.1,0.1,0.1,0.1
75,0.111348,75,14,19,22,20,14,19,22,20,0.1,0.1,0.1,0.1
76,0.098501,74,21,23,14,16,21,23,14,16,0.1,0.1,0.1,0.1
77,0.097938,74,15,16,21,22,15,16,21,22,0.1,0.1,0.1,0.1
78,0.116449,89,26,23,16,24,26,23,16,24,0.1,0.1,0.1,0.1
79,0.102186,77,23,18,21,15,23,18,21,15,0.1,0.1,0.1,0.1
80,0.134975,93,27,22,20,24,27,22,20,24,0.1,0.1,0.1,0.1
81,0.092942,72,18,19,21,14,18,19,21,14,0.1,0.1,0.1,0.1
82,0.097464,76,19,13,21,23,19,13,21,23,0.1,0.1,0.1,0.1
83,0.094446,73,17,18,21,17,17,18,21,17,0.1,0.1,0.1,0.1
84,0.120629,82,25,22,16,19,25,22,16,19,0.1,0.1,0.1,0.1
85,0.104379,77,20,22,16,19,20,22,16,19,0.1,0.1,0.1,0.1
86,0.093788,71,16,17,16,22,16,17,16,22,0.1,0.1,0.1,0.1
87,0.110018,83,22,23,18,20,22,23,18,20,0.1,0.1,0.1,0.1
88,0.103003,78,17,19,20,22,17,19,20,22,0.1,0.1,0.1,0.1
89,0.089253,68,15,19,20,14,15,19,20,14,0.1,0.1,0.1,0.1
90,0.105507,84,19,21,19,25,19,21,19,25,0.1,0.1,0.1,0.1
91,0.103971,83,22,13,25,23,22,13,25,23,0.1,0.1,0.1,0.1
92,0.093031,74,14,19,20,21,14,19,20,21,0.1,0.1,0.1,0.1
93,0.10535,83,17,21,22,23,17,21,22,23,0.1,0.1,0.1,0.1
94,0.094686,72,18,14,20,20,18,14,20,20,0.1,0.1,0.1,0.1
95,0.095706,71,17,21,14,19,17,21,14,19,0.1,0.1,0.1,0.1
96,0.102024,68,23,17,17,11,23,17,17,11,0.1,0.1,0.1,0.1
97,0.103958,79,17,19,21,22,17,19,21,22,0.1,0.1,0.1,0.1
98,0.09961,77,17,19,20,21,17,19,20,21,0.1,0.1,0.1,0.1
99,0.089834,65,16,17,19,13,16,17,19,13,0.1,0.1,0.1,0.1
100,0.098565,65,18,13,13,21,18,13,13,21,0.1,0.1,0.1,0.1
101,0.113612,84,25,20,22,17,25,20,22,17,0.1,0.1,0.1,0.1
102,0.107426,69,19,15,14,21,19,15,14,21,0.1,0.1,0.1,0.1
103,0.120287,78,14,23,21,20,14,23,21,20,0.1,0.1,0.1,0.1
104,0.11213,72,13,18,19,22,13,18,19,22,0.1,0.1,0.1,0.1
105,0.096622,74,18,20,21,15,18,20,21,15,0.1,0.1,0.1,0.1
106,0.093601,64,15,20,16,13,15,20,16,13,0.1,0.1,0.1,0.1
107,0.105897,70,21,18,15,16,21,18,15,16,0.1,0.1,0.1,0.1
108,0.1156,74,21,19,17,17,21,19,17,17,0.1,0.1,0.1,0.1
109,0.099035,69,20,16,14,19,20,16,14,19,0.1,0.1,0.1,0.1
110,0.120993,77,16,17,23,21,16,17,23,21,0.1,0.1,0.1,0.1
111,0.134391,78,16,20,21,21,16,20,21,21,0.1,0.1,0.1,0.1
112,0.177042,83,18,24,19,22,18,24,19,22,0.1,0.1,0.1,0.1
113,0.14808,64,19,12,15,18,19,12,15,18,0.1,0.1,0.1,0.1
114,0.166226,74,17,22,19,16,17,22,19,16,0.1,0.1,0.1,0.1
115,0.147988,64,11,18,19,16,11,18,19,16,0.1,0.1,0.1,0.1
116,0.174056,80,19,19,21,21,19,19,21,21,0.1,0.1,0.1,0.1
117,0.173287,86,16,23,23,24,16,23,23,24,0.1,0.1,0.1,0.1
118,0.11352,67,9,18,19,21,9,18,19,21,0.1,0.1,0.1,0.1
119,0.12639,85,21,22,24,18,21,22,24,18,0.1,0.1,0.1,0.1
120,0.103258,73,18,20,22,13,18,20,22,13,0.1,0.1,0.1,0.1
121,0.099518,78,23,22,15,18,23,22,15,18,0.1,0.1,0.1,0.1
122,0.098758,78,17,22,20,19,17,22,20,19,0.1,0.1,0.1,0.1
123,0.11112,84,21,22,17,24,21,22,17,24,0.1,0.1,0.1,0.1
124,0.108459,81,22,17,20,22,22,17,20,22,0.1,0.1,0.1,0.1
125,0.098583,76,12,21,24,19,12,21,24,19,0.1,0.1,0.1,0.1
126,0.100377,76,18,19,18,21,18,19,18,21,0.1,0.1,0.1,0.1
127,0.111922,73,23,15,14,21,23,15,14,21,0.1,0.1,0.1,0.1
128,0.109025,74,17,19,21,17,17,19,21,17,0.1,0.1,0.1,0.1
129,0.126747,82,17,25,19,21,17,25,19,21,0.1,0.1,0.1,0.1
130,0.110995,72,18,17,21,16,18,17,21,16,0.1,0.1,0.1,0.1
131,0.11677,76,23,18,16,19,23,18,16,19,0.1,0.1,0.1,0.1
132,0.101185,66,19,16,14,17,19,16,14,17,0.1,0.1,0.1,0.1
133,0.11905,75,21,18,17,19,21,18,17,19,0.1,0.1,0.1,0.1
134,0.096382,68,16,15,18,19,16,15,18,19,0.1,0.1,0.1,0.1
135,0.125655,87,20,18,27,22,20,18,27,22,0.1,0.1,0.1,0.1
136,0.106587,70,15,19,21,15,15,19,21,15,0.1,0.1,0.1,0.1
137,0.090186,59,11,12,15,21,11,12,15,21,0.1,0.1,0.1,0.1
138,0.116926,82,18,22,17,25,18,22,17,25,0.1,0.1,0.1,0.1
139,0.108457,82,21,17,24,20,21,17,24,20,0.1,0.1,0.1,0.1
140,0.106026,82,16,20,24,22,16,20,24,22,0.1,0.1,0.1,0.1
141,0.109806,86,21,19,22,24,21,19,22,24,0.1,0.1,0.1,0.1
142,0.101651,75,20,15,21,19,20,15,21,19,0.1,0.1,0.1,0.1
143,0.111581,85,20,21,22,22,20,21,22,22,0.1,0.1,0.1,0.1
144,0.095573,72,19,22,18,13,19,22,18,13,0.1,0.1,0.1,0.1
145,0.087953,66,21,18,17,10,21,18,17,10,0.1,0.1,0.1,0.1
146,0.093852,72,18,20,16,18,18,20,16,18,0.1,0.1,0.1,0.1
147,0.103027,79,19,17,22,21,19,17,22,21,0.1,0.1,0.1,0.1
148,0.087188,67,15,13,20,19,15,13,20,19,0.1,0.1,0.1,0.1
149,0.094464,73,15,19,19,20,15,19,19,20,0.1,0.1,0.1,0.1
150,0.106714,83,21,24,18,20,21,24,18,20,0.1,0.1,0.1,0.1
151,0.091174,70,18,13,22,17,18,13,22,17,0.1,0.1,0.1,0.1
152,0.101475,75,18,19,23,15,18,19,23,15,0.1,0.1,0.1,0.1
153,0.109721,72,18,21,16,17,18,21,16,17,0.1,0.1,0.1,0.1
154,0.114893,69,14,17,16,22,14,17,16,22,0.1,0.1,0.1,0.1
155,0.103885,69,19,12,20,18,19,12,20,18,0.1,0.1,0.1,0.1
156,0.094716,73,19,15,21,18,19,15,21,18,0.1,0.1,0.1,0.1
157,0.090683,68,20,16,13,19,20,16,13,19,0.1,0.1,0.1,0.1
158,0.106926,71,15,16,20,20,15,16,20,20,0.1,0.1,0.1,0.1
159,0.107251,71,20,21,18,12,20,21,18,12,0.1,0.1,0.1,0.1
160,0.101504,68,12,14,22,20,12,14,22,20,0.1,0.1,0.1,0.1
161,0.105013,72,22,18,16,16,22,18,16,16,0.1,0.1,0.1,0.1
162,0.109814,83,24,20,17,22,24,20,17,22,0.1,0.1,0.1,0.1
163,0.13308,86,26,19,25,16,26,19,25,16,0.1,0.1,0.1,0.1
164,0.098775,75,20,21,18,16,20,21,18,16,0.1,0.1,0.1,0.1
165,0.091514,72,22,15,22,13,22,15,22,13,0.1,0.1,0.1,0.1
166,0.105675,83,25,21,15,22,25,21,15,22,0.1,0.1,0.1,0.1
167,0.121492,82,23,20,21,18,23,20,21,18,0.1,0.1,0.1,0.1
168,0.11513,71,20,18,15,18,20,18,15,18,0.1,0.1,0.1,0.1
169,0.11623,79,21,19,16,23,21,19,16,23,0.1,0.1,0.1,0.1
170,0.130285,89,21,23,20,25,21,23,20,25,0.1,0.1,0.1,0.1
171,0.09962,68,14,20,16,18,14,20,16,18,0.1,0.1,0.1,0.1
172,0.128107,76,22,19,15,20,22,19,15,20,0.1,0.1,0.1,0.1
173,0.101276,63,18,11,20,14,18,11,20,14,0.1,0.1,0.1,0.1
174,0.13577,81,16,23,24,18,16,23,24,18,0.1,0.1,0.1,0.1
175,0.140297,92,26,19,22,25,26,19,22,25,0.1,0.1,0.1,0.1
176,0.129486,67,14,20,12,21,14,20,12,21,0.1,0.1,0.1,0.1
177,0.152732,75,13,18,23,21,13,18,23,21,0.1,0.1,0.1,0.1
178,0.199432,85,23,24,20,18,23,24,20,18,0.1,0.1,0.1,0.1
179,0.104968,75,20,17,18,20,20,17,18,20,0.1,0.1,0.1,0.1
180,0.091503,69,17,18,19,15,17,18,19,15,0.1,0.1,0.1,0.1
181,0.108777,80,22,20,21,17,22,20,21,17,0.1,0.1,0.1,0.1
182,0.093462,70,10,23,20,17,10,23,20,17,0.1,0.1,0.1,0.1
183,0.111234,81,23,19,17,22,23,19,17,22,0.1,0.1,0.1,0.1
184,0.133214,82,23,18,24,17,23,18,24,17,0.1,0.1,0.1,0.1
185,0.092185,68,19,18,21,10,19,18,21,10,0.1,0.1,0.1,0.1
186,0.110914,81,17,18,22,24,17,18,22,24,0.1,0.1,0.1,0.1
187,0.105952,80,18,20,22,20,18,20,22,20,0.1,0.1,0.1,0.1
188,0.093648,71,17,20,18,16,17,20,18,16,0.1,0.1,0.1,0.1
189,0.10929,74,20,18,12,24,20,18,12,24,0.1,0.1,0.1,0.1
190,0.105337,82,21,15,22,24,21,15,22,24,0.1,0.1,0.1,0.1
191,0.12672,88,23,20,21,24,23,20,21,24,0.1,0.1,0.1,0.1
192,0.131276,81,21,23,12,25,21,23,12,25,0.1,0.1,0.1,0.1
193,0.105474,72,14,20,21,17,14,20,21,17,0.1,0.1,0.1,0.1
194,0.120182,74,22,18,14,20,22,18,14,20,0.1,0.1,0.1,0.1
195,0.12927,86,24,18,22,22,24,18,22,22,0.1,0.1,0.1,0.1
196,0.094734,72,22,14,17,19,22,14,17,19,0.1,0.1,0.1,0.1
197,0.09933,73,21,15,18,19,21,15,18,19,0.1,0.1,0.1,0.1
198,0.120931,80,23,17,19,21,23,17,19,21,0.1,0.1,0.1,0.1
199,0.093145,62,18,16,17,11,18,16,17,11,0.1,0.1,0.1,0.1
200,0.112438,75,16,18,19,22,16,18,19,22,0.1,0.1,0.1,0.1
201,0.104496,76,14,21,22,19,14,21,22,19,0.1,0.1,0.1,0.1
202,0.096312,71,21,18,17,15,21,18,17,15,0.1,0.1,0.1,0.1
203,0.109204,72,10,18,21,23,10,18,21,23,0.1,0.1,0.1,0.1
204,0.118958,76,16,19,20,21,16,19,20,21,0.1,0.1,0.1,0.1
205,0.123603,80,21,22,19,18,21,22,19,18,0.1,0.1,0.1,0.1
206,0.11504,78,24,15,17,22,24,15,17,22,0.1,0.1,0.1,0.1
207,0.099726,66,17,10,20,19,17,10,20,19,0.1,0.1,0.1,0.1
208,0.109622,74,22,16,16,20,22,16,16,20,0.1,0.1,0.1,0.1
209,0.075754,57,9,15,14,19,9,15,14,19,0.1,0.1,0.1,0.1
210,0.093359,69,20,16,20,13,20,16,20,13,0.1,0.1,0.1,0.1
211,0.096999,71,19,22,18,12,19,22,18,12,0.1,0.1,0.1,0.1
212,0.108173,67,17,20,15,15,17,20,15,15,0.1,0.1,0.1,0.1
213,0.116538,71,17,14,20,20,17,14,20,20,0.1,0.1,0.1,0.1
214,0.138717,88,25,22,18,23,25,22,18,23,0.1,0.1,0.1,0.1
215,0.112556,72,20,14,21,17,20,14,21,17,0.1,0.1,0.1,0.1
216,0.115591,74,21,21,15,17,21,21,15,17,0.1,0.1,0.1,0.1
217,0.106318,70,16,14,18,22,16,14,18,22,0.1,0.1,0.1,0.1
218,0.125027,80,19,18,21,22,19,18,21,22,0.1,0.1,0.1,0.1
219,0.105278,75,22,19,16,18,22,19,16,18,0.1,0.1,0.1,0.1
220,0.107019,71,12,17,21,21,12,17,21,21,0.1,0.1,0.1,0.1
221,0.109611,80,15,20,24,21,15,20,24,21,0.1,0.1,0.1,0.1
222,0.110814,80,17,23,25,15,17,23,25,15,0.1,0.1,0.1,0.1
223,0.097888,69,15,13,21,20,15,13,21,20,0.1,0.1,0.1,0.1
224,0.100368,74,21,17,18,18,21,17,18,18,0.1,0.1,0.1,0.1
225,0.122747,81,15,20,22,24,15,20,22,24,0.1,0.1,0.1,0.1
226,0.10068,64,13,19,17,15,13,19,17,15,0.1,0.1,0.1,0.1
227,0.126641,80,14,24,19,23,14,24,19,23,0.1,0.1,0.1,0.1
228,0.104764,71,17,20,15,19,17,20,15,19,0.1,0.1,0.1,0.1
229,0.084928,63,18,15,16,14,18,15,16,14,0.1,0.1,0.1,0.1
230,0.111251,83,19,20,22,22,19,20,22,22,0.1,0.1,0.1,0.1
231,0.11513,78,18,24,21,15,18,24,21,15,0.1,0.1,0.1,0.1
232,0.102782,68,15,16,19,18,15,16,19,18,0.1,0.1,0.1,0.1
233,0.11357,84,22,23,18,21,22,23,18,21,0.1,0.1,0.1,0.1
234,0.100343,72,22,12,21,17,22,12,21,17,0.1,0.1,0.1,0.1
235,0.111936,70,13,21,17,19,13,21,17,19,0.1,0.1,0.1,0.1
236,0.101788,69,15,21,24,9,15,21,24,9,0.1,0.1,0.1,0.1
237,0.11131,83,24,19,18,22,24,19,18,22,0.1,0.1,0.1,0.1
238,0.090743,67,14,16,20,17,14,16,20,17,0.1,0.1,0.1,0.1
239,0.106,69,18,21,17,13,18,21,17,13,0.1,0.1,0.1,0.1
240,0.118129,76,16,18,20,22,16,18,20,22,0.1,0.1,0.1,0.1
241,0.120974,79,22,17,21,19,22,17,21,19,0.1,0.1,0.1,0.1
242,0.125301,80,19,22,18,21,19,22,18,21,0.1,0.1,0.1,0.1
243,0.118131,75,11,22,20,22,11,22,20,22,0.1,0.1,0.1,0.1
244,0.121209,78,17,21,18,22,17,21,18,22,0.1,0.1,0.1,0.1
245,0.105237,68,15,15,18,20,15,15,18,20,0.1,0.1,0.1,0.1
246,0.106921,69,19,21,14,15,19,21,14,15,0.1,0.1,0.1,0.1
247,0.110774,75,13,17,22,23,13,17,22,23,0.1,0.1,0.1,0.1
248,0.126281,81,18,22,16,25,18,22,16,25,0.1,0.1,0.1,0.1
249,0.113504,71,18,18,20,15,18,18,20,15,0.1,0.1,0.1,0.1
250,0.147246,83,23,18,20,22,23,18,20,22,0.1,0.1,0.1,0.1
251,0.111743,64,14,15,17,18,14,15,17,18,0.1,0.1,0.1,0.1
252,0.104707,65,16,15,15,19,16,15,15,19,0.1,0.1,0.1,0.1
253,0.105079,69,16,18,15,20,16,18,15,20,0.1,0.1,0.1,0.1
254,0.10375,80,23,25,19,13,23,25,19,13,0.1,0.1,0.1,0.1
255,0.095477,73,18,16,19,20,18,16,19,20,0.1,0.1,0.1,0.1
256,0.10366,76,22,20,19,15,22,20,19,15,0.1,0.1,0.1,0.1
257,0.117084,75,18,13,23,21,18,13,23,21,0.1,0.1,0.1,0.1
258,0.097115,66,11,17,18,20,11,17,18,20,0.1,0.1,0.1,0.1
259,0.078962,59,16,13,14,16,16,13,14,16,0.1,0.1,0.1,0.1
260,0.116443,87,21,22,20,24,21,22,20,24,0.1,0.1,0.1,0.1
261,0.106946,77,19,21,15,22,19,21,15,22,0.1,0.1,0.1,0.1
262,0.110148,76,16,18,20,22,16,18,20,22,0.1,0.1,0.1,0.1
263,0.107147,81,17,21,23,20,17,21,23,20,0.1,0.1,0.1,0.1
264,0.099699,76,19,25,14,18,19,25,14,18,0.1,0.1,0.1,0.1
265,0.097518,73,23,19,13,18,23,19,13,18,0.1,0.1,0.1,0.1
266,0.102929,74,17,18,19,20,17,18,19,20,0.1,0.1,0.1,0.1
267,0.134658,87,21,23,20,23,21,23,20,23,0.1,0.1,0.1,0.1
268,0.126152,80,20,22,18,20,20,22,18,20,0.1,0.1,0.1,0.1
269,0.115788,73,19,15,21,18,19,15,21,18,0.1,0.1,0.1,0.1
270,0.111059,72,15,15,21,21,15,15,21,21,0.1,0.1,0.1,0.1
271,0.103877,70,22,10,18,20,22,10,18,20,0.1,0.1,0.1,0.1
272,0.109695,83,21,21,18,23,21,21,18,23,0.1,0.1,0.1,0.1
273,0.095266,73,19,14,21,19,19,14,21,19,0.1,0.1,0.1,0.1
274,0.114414,77,18,21,20,18,18,21,20,18,0.1,0.1,0.1,0.1
275,0.115363,85,21,19,21,24,21,19,21,24,0.1,0.1,0.1,0.1
276,0.092807,70,20,18,19,13,20,18,19,13,0.1,0.1,0.1,0.1
277,0.102444,78,20,19,24,15,20,19,24,15,0.1,0.1,0.1,0.1
278,0.095641,74,19,21,21,13,19,21,21,13,0.1,0.1,0.1,0.1
279,0.095463,73,20,22,19,12,20,22,19,12,0.1,0.1,0.1,0.1
280,0.112055,82,20,18,21,23,20,18,21,23,0.1,0.1,0.1,0.1
281,0.132611,85,20,22,19,24,20,22,19,24,0.1,0.1,0.1,0.1
282,0.091796,61,17,19,9,16,17,19,9,16,0.1,0.1,0.1,0.1
283,0.113871,75,13,19,21,22,13,19,21,22,0.1,0.1,0.1,0.1
284,0.113689,79,19,18,22,20,19,18,22,20,0.1,0.1,0.1,0.1
285,0.102793,69,11,20,17,21,11,20,17,21,0.1,0.1,0.1,0.1
286,0.153341,96,22,22,25,27,22,22,25,27,0.1,0.1,0.1,0.1
287,0.125157,77,22,19,15,21,22,19,15,21,0.1,0.1,0.1,0.1
288,0.132392,83,20,23,24,16,20,23,24,16,0.1,0.1,0.1,0.1
289,0.112926,70,23,16,19,12,23,16,19,12,0.1,0.1,0.1,0.1
290,0.128874,76,17,12,23,24,17,12,23,24,0.1,0.1,0.1,0.1
291,0.118474,78,17,21,19,21,17,21,19,21,0.1,0.1,0.1,0.1
292,0.117228,79,17,22,20,20,17,22,20,20,0.1,0.1,0.1,0.1
293,0.098551,62,16,21,10,15,16,21,10,15,0.1,0.1,0.1,0.1
294,0.087602,65,15,19,20,11,15,19,20,11,0.1,0.1,0.1,0.1
295,0.098702,73,16,17,21,19,16,17,21,19,0.1,0.1,0.1,0.1
296,0.093625,71,18,18,21,14,18,18,21,14,0.1,0.1,0.1,0.1
297,0.100806,76,21,22,15,18,21,22,15,18,0.1,0.1,0.1,0.1
298,0.108479,71,13,16,22,20,13,16,22,20,0.1,0.1,0.1,0.1
299,0.123238,80,20,22,17,21,20,22,17,21,0.1,0.1,0.1,0.1
300,0.095644,68,15,17,17,19,15,17,17,19,0.1,0.1,0.1,0.1
301,0.089248,66,16,19,21,10,16,19,21,10,0.1,0.1,0.1,0.1
302,0.10198,78,18,22,21,17,18,22,21,17,0.1,0.1,0.1,0.1
303,0.118294,76,17,17,20,22,17,17,20,22,0.1,0.1,0.1,0.1
304,0.125054,82,23,17,20,22,23,17,20,22,0.1,0.1,0.1,0.1
305,0.098053,67,17,10,19,21,17,10,19,21,0.1,0.1,0.1,0.1
306,0.093758,58,22,19,12,5,22,19,12,5,0.1,0.1,0.1,0.1
307,0.102414,73,20,19,18,16,20,19,18,16,0.1,0.1,0.1,0.1
308,0.128972,75,20,17,20,18,20,17,20,18,0.1,0.1,0.1,0.1
309,0.124514,81,19,21,18,23,19,21,18,23,0.1,0.1,0.1,0.1
310,0.120253,81,25,19,20,17,25,19,20,17,0.1,0.1,0.1,0.1
311,0.102562,67,13,20,19,15,13,20,19,15,0.1,0.1,0.1,0.1
312,0.106859,81,19,23,24,15,19,23,24,15,0.1,0.1,0.1,0.1
313,0.096201,74,15,18,19,22,15,18,19,22,0.1,0.1,0.1,0.1
314,0.122366,82,21,22,20,19,21,22,20,19,0.1,0.1,0.1,0.1
315,0.129481,74,17,16,20,21,17,16,20,21,0.1,0.1,0.1,0.1
316,0.091249,67,19,20,15,13,19,20,15,13,0.1,0.1,0.1,0.1
317,0.101227,79,19,17,22,21,19,17,22,21,0.1,0.1,0.1,0.1
318,0.081862,59,17,21,9,12,17,21,9,12,0.1,0.1,0.1,0.1
319,0.098053,70,16,17,19,18,16,17,19,18,0.1,0.1,0.1,0.1
320,0.115216,73,16,17,21,19,16,17,21,19,0.1,0.1,0.1,0.1
321,0.131511,82,24,22,14,22,24,22,14,22,0.1,0.1,0.1,0.1
322,0.122155,78,19,16,21,22,19,16,21,22,0.1,0.1,0.1,0.1
323,0.12947,71,16,20,20,15,16,20,20,15,0.1,0.1,0.1,0.1
324,0.153659,92,26,20,22,24,26,20,22,24,0.1,0.1,0.1,0.1
325,0.110703,69,17,14,18,20,17,14,18,20,0.1,0.1,0.1,0.1
326,0.107903,77,17,22,18,20,17,22,18,20,0.1,0.1,0.1,0.1
327,0.118661,73,18,23,20,12,18,23,20,12,0.1,0.1,0.1,0.1
