episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon
174,24.0,0.0,0.0,0.0,1.5,0.0,0.0,0.20516564483749364
175,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.2033271638241656
176,35.0,0.0,0.0,0.0,1.5,0.0,0.0,0.20120308092874925
177,23.0,1.0,0.0,0.0,1.5,0.0,0.0,0.19981935145798102
178,33.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1978506059244557
179,24.0,3.0,0.0,0.0,1.5,0.0,0.0,0.19643098537571974
180,34.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1944372754620336
181,28.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1928105999380986
182,35.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1907963796554725
183,32.0,2.0,0.0,0.0,1.5,0.0,0.0,0.18897322606519804
184,36.0,2.0,0.0,0.0,1.5,0.0,0.0,0.18694299366534556
185,35.0,2.0,0.0,0.0,1.5,0.0,0.0,0.18499007007267756
186,36.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1830026306785754
187,24.0,3.0,0.0,0.0,1.5,0.0,0.0,0.18168954753804037
188,30.0,2.0,0.0,0.0,1.5,0.0,0.0,0.18006143487944481
189,39.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1779666800774598
190,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.176371927883024
191,30.0,3.0,0.0,0.0,1.5,0.0,0.0,0.174791466198253
192,26.0,2.0,0.0,0.0,1.5,0.0,0.0,0.17343319316307065
193,28.0,1.0,0.0,0.0,1.5,0.0,0.0,0.17198223922594166
194,28.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1705434240685312
195,27.0,2.0,0.0,0.0,1.5,0.0,0.0,0.16916739635588593
196,23.0,0.0,0.0,0.0,1.5,0.0,0.0,0.1680039851856879
197,28.0,3.0,0.0,0.0,1.5,0.0,0.0,0.16659845237323878
198,29.0,3.0,0.0,0.0,1.5,0.0,0.0,0.16515511694077412
199,26.0,3.0,0.0,0.0,1.5,0.0,0.0,0.16387172624189061
200,29.0,3.0,0.0,0.0,1.5,0.0,0.0,0.16245201396068532
201,27.0,3.0,0.0,0.0,1.5,0.0,0.0,0.16114127170013864
202,24.0,0.0,0.0,0.0,1.5,0.0,0.0,0.15998504850089149
203,22.0,0.0,0.0,0.0,1.5,0.0,0.0,0.15893246662723481
204,29.0,1.0,0.0,0.0,1.5,0.0,0.0,0.15755554591047938
205,25.0,3.0,0.0,0.0,1.5,0.0,0.0,0.15637812354781472
206,24.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1552560769585512
207,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1538186741065093
208,25.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1526691776185131
209,30.0,1.0,0.0,0.0,1.5,0.0,0.0,0.15130111531649185
210,27.0,3.0,0.0,0.0,1.5,0.0,0.0,0.15008034395713424
211,34.0,3.0,0.0,0.0,1.5,0.0,0.0,0.14855707781343275
212,24.0,1.0,0.0,0.0,1.5,0.0,0.0,0.1474911489054129
213,28.0,0.0,0.0,0.0,1.5,0.0,0.0,0.14625722788203208
214,35.0,2.0,0.0,0.0,1.5,0.0,0.0,0.1447293332798928
215,23.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1437339894570268
216,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.14240326121483346
217,33.0,2.0,0.0,0.0,1.5,0.0,0.0,0.14100021500118826
218,25.0,0.0,0.0,0.0,1.5,0.0,0.0,0.13994651165280056
219,25.0,3.0,0.0,0.0,1.5,0.0,0.0,0.13890068269486253
220,35.0,2.0,0.0,0.0,1.5,0.0,0.0,0.13744963917109146
221,23.0,2.0,0.0,0.0,1.5,0.0,0.0,0.13650435982651296
222,36.0,0.0,0.0,0.0,1.5,0.0,0.0,0.13503782628728403
223,35.0,0.0,0.0,0.0,1.5,0.0,0.0,0.13362713658082134
224,33.0,0.0,0.0,0.0,1.5,0.0,0.0,0.13231055824953486
225,27.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1312430119878052
226,32.0,0.0,0.0,0.0,1.5,0.0,0.0,0.12998892022287709
227,31.0,1.0,0.0,0.0,1.5,0.0,0.0,0.12878544755808666
228,26.0,3.0,0.0,0.0,1.5,0.0,0.0,0.1277846790163111
229,27.0,1.0,0.0,0.0,1.5,0.0,0.0,0.12675364976063438
230,34.0,1.0,0.0,0.0,1.5,0.0,0.0,0.12546714189304767
