episode,ep_length,ep_env_return_p0,ep_shaping_return_p0,ep_final_bonus_p0,ep_env_return_avg,ep_shaping_return_avg,ep_final_bonus_avg,epsilon_p0
41,105.0,1.0,0.0,0.0,1.5,0.0,0.0,0.727786411570265
42,108.0,3.0,0.0,0.0,1.5,0.0,0.0,0.7229981217151152
43,140.0,0.0,0.0,0.0,1.5,0.0,0.0,0.7145870825145065
44,116.0,1.0,0.0,0.0,1.5,0.0,0.0,0.7081836966814987
45,119.0,2.0,0.0,0.0,1.5,0.0,0.0,0.702469724433083
46,114.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6970109585935239
47,102.0,0.0,0.0,0.0,1.5,0.0,0.0,0.6905578421718445
48,123.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6843697813859205
49,128.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6782371715614537
50,135.0,0.0,0.0,0.0,1.5,0.0,0.0,0.6705480257927545
51,107.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6657366998335448
52,127.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6591774444624412
53,101.0,3.0,0.0,0.0,1.5,0.0,0.0,0.6552336314663298
54,106.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6501419288064532
55,94.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6454770209714934
56,109.0,1.0,0.0,0.0,1.5,0.0,0.0,0.64007691613675
57,101.0,0.0,0.0,0.0,1.5,0.0,0.0,0.634721988947808
58,87.0,0.0,0.0,0.0,1.5,0.0,0.0,0.6299786721731206
59,109.0,2.0,0.0,0.0,1.5,0.0,0.0,0.6247082275827509
60,84.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6202258120111781
61,107.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6150369605149111
62,100.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6100745416670896
63,103.0,1.0,0.0,0.0,1.5,0.0,0.0,0.6047891252067971
64,106.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5991898235209235
65,110.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5952476029632686
66,123.0,0.0,0.0,0.0,1.5,0.0,0.0,0.589206035514753
67,127.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5842766975868833
68,105.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5790410178223968
69,123.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5735079950655425
70,119.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5690513676219835
71,115.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5637829357847132
72,103.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5604098615270727
73,90.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5558882008174157
74,109.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5509069092198614
75,123.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5464619229747766
76,109.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5417276181556939
77,110.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5373566949180554
78,86.0,1.0,0.0,0.0,1.5,0.0,0.0,0.5338212900657971
79,124.0,3.0,0.0,0.0,1.5,0.0,0.0,0.5298320104694629
80,117.0,2.0,0.0,0.0,1.5,0.0,0.0,0.5253993996895604
