[2025-09-09 22:59:11] New Training (k1a1)
[2025-09-09 22:59:11] Deck_Size: 64
[2025-09-09 22:59:11] Episodes: 20000
[2025-09-09 22:59:11] Path: /home/wasterix/Multiagent/OpenSpiel_neu/open_spiel/President/models/k1a1/model_17
[2025-09-09 22:59:18] [Population] Episode 95: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 96: Lineup -> ['single_only', 'max_combo', 'random2']
[2025-09-09 22:59:18] [Population] Episode 97: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 98: Lineup -> ['random2', 'random2', 'random2']
[2025-09-09 22:59:18] [Population] Episode 99: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 100: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 101: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 102: Lineup -> ['single_only', 'single_only', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 103: Lineup -> ['max_combo', 'single_only', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 104: Lineup -> ['max_combo', 'single_only', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 105: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:18] [Population] Episode 106: Lineup -> ['max_combo', 'random2', 'random2']
[2025-09-09 22:59:18] [Population] Episode 107: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 108: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:18] [Population] Episode 109: Lineup -> ['single_only', 'single_only', 'max_combo']
[2025-09-09 22:59:18] [Population] Episode 110: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:18] [Population] Episode 111: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:18] [Population] Episode 112: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:19] [Population] Episode 113: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:19] [Population] Episode 114: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:19] [Population] Episode 115: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:19] [Population] Episode 116: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 117: Lineup -> ['max_combo', 'single_only', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 118: Lineup -> ['single_only', 'single_only', 'random2']
[2025-09-09 22:59:19] [Population] Episode 119: Lineup -> ['random2', 'single_only', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 120: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:19] [Population] Episode 121: Lineup -> ['max_combo', 'single_only', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 122: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 123: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:19] [Population] Episode 124: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:19] [Population] Episode 125: Lineup -> ['max_combo', 'random2', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 126: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 127: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 128: Lineup -> ['single_only', 'random2', 'random2']
[2025-09-09 22:59:19] [Population] Episode 129: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:19] [Population] Episode 130: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 131: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 132: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:19] [Population] Episode 133: Lineup -> ['single_only', 'max_combo', 'random2']
[2025-09-09 22:59:19] [Population] Episode 134: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:19] [Population] Episode 135: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:20] [Population] Episode 136: Lineup -> ['max_combo', 'random2', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 137: Lineup -> ['single_only', 'max_combo', 'random2']
[2025-09-09 22:59:20] [Population] Episode 138: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:20] [Population] Episode 139: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:20] [Population] Episode 140: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:20] [Population] Episode 141: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:20] [Population] Episode 142: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:20] [Population] Episode 143: Lineup -> ['random2', 'random2', 'random2']
[2025-09-09 22:59:20] [Population] Episode 144: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:20] [Population] Episode 145: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 146: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:20] [Population] Episode 147: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:20] [Population] Episode 148: Lineup -> ['max_combo', 'random2', 'random2']
[2025-09-09 22:59:20] [Population] Episode 149: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 150: Lineup -> ['max_combo', 'random2', 'random2']
[2025-09-09 22:59:20] [Population] Episode 151: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:20] [Population] Episode 152: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:20] [Population] Episode 153: Lineup -> ['single_only', 'single_only', 'max_combo']
[2025-09-09 22:59:20] [Population] Episode 154: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 155: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:20] [Population] Episode 156: Lineup -> ['max_combo', 'single_only', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 157: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:20] [Population] Episode 158: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 159: Lineup -> ['single_only', 'single_only', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 160: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 161: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 162: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 163: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:20] [Population] Episode 164: Lineup -> ['single_only', 'max_combo', 'random2']
[2025-09-09 22:59:20] [Population] Episode 165: Lineup -> ['single_only', 'single_only', 'single_only']
[2025-09-09 22:59:21] [Population] Episode 166: Lineup -> ['single_only', 'single_only', 'random2']
[2025-09-09 22:59:21] [Population] Episode 167: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:21] [Population] Episode 168: Lineup -> ['single_only', 'random2', 'max_combo']
[2025-09-09 22:59:21] [Population] Episode 169: Lineup -> ['random2', 'single_only', 'max_combo']
[2025-09-09 22:59:21] [Population] Episode 170: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:21] [Population] Episode 171: Lineup -> ['max_combo', 'single_only', 'max_combo']
[2025-09-09 22:59:21] [Population] Episode 172: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:21] [Population] Episode 173: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:21] [Population] Episode 174: Lineup -> ['max_combo', 'single_only', 'max_combo']
[2025-09-09 22:59:21] [Population] Episode 175: Lineup -> ['single_only', 'random2', 'random2']
[2025-09-09 22:59:21] [Population] Episode 176: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:22] [Population] Episode 177: Lineup -> ['random2', 'single_only', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 178: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 179: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:22] [Population] Episode 180: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:22] [Population] Episode 181: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 182: Lineup -> ['single_only', 'max_combo', 'random2']
[2025-09-09 22:59:22] [Population] Episode 183: Lineup -> ['single_only', 'single_only', 'max_combo']
[2025-09-09 22:59:22] [Population] Episode 184: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:22] [Population] Episode 185: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 186: Lineup -> ['single_only', 'single_only', 'max_combo']
[2025-09-09 22:59:22] [Population] Episode 187: Lineup -> ['max_combo', 'random2', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 188: Lineup -> ['single_only', 'random2', 'random2']
[2025-09-09 22:59:22] [Population] Episode 189: Lineup -> ['max_combo', 'single_only', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 190: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 191: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 192: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:22] [Population] Episode 193: Lineup -> ['single_only', 'single_only', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 194: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:22] [Population] Episode 195: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:22] [Population] Episode 196: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:22] [Population] Episode 197: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:23] [Population] Episode 198: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:23] [Population] Episode 199: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:23] [Population] Episode 200: Lineup -> ['single_only', 'random2', 'random2']
[2025-09-09 22:59:23] [Population] Episode 201: Lineup -> ['random2', 'random2', 'random2']
[2025-09-09 22:59:23] [Population] Episode 202: Lineup -> ['random2', 'max_combo', 'random2']
[2025-09-09 22:59:23] [Population] Episode 203: Lineup -> ['single_only', 'single_only', 'single_only']
[2025-09-09 22:59:23] [Population] Episode 204: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:23] [Population] Episode 205: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:23] [Population] Episode 206: Lineup -> ['max_combo', 'max_combo', 'random2']
[2025-09-09 22:59:23] [Population] Episode 207: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:23] [Population] Episode 208: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:23] [Population] Episode 209: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:23] [Population] Episode 210: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:23] [Population] Episode 211: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:23] [Population] Episode 212: Lineup -> ['random2', 'random2', 'random2']
[2025-09-09 22:59:23] [Population] Episode 213: Lineup -> ['random2', 'random2', 'random2']
[2025-09-09 22:59:23] [Population] Episode 214: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 215: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 216: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 217: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:24] [Population] Episode 218: Lineup -> ['random2', 'single_only', 'random2']
[2025-09-09 22:59:24] [Population] Episode 219: Lineup -> ['max_combo', 'single_only', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 220: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:24] [Population] Episode 221: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:24] [Population] Episode 222: Lineup -> ['random2', 'random2', 'max_combo']
[2025-09-09 22:59:24] [Population] Episode 223: Lineup -> ['single_only', 'max_combo', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 224: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 225: Lineup -> ['single_only', 'random2', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 226: Lineup -> ['max_combo', 'single_only', 'max_combo']
[2025-09-09 22:59:24] [Population] Episode 227: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 228: Lineup -> ['single_only', 'single_only', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 229: Lineup -> ['random2', 'random2', 'single_only']
[2025-09-09 22:59:24] [Population] Episode 230: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:24] [Population] Episode 231: Lineup -> ['max_combo', 'random2', 'single_only']
[2025-09-09 22:59:25] [Population] Episode 232: Lineup -> ['random2', 'single_only', 'single_only']
[2025-09-09 22:59:25] [Population] Episode 233: Lineup -> ['max_combo', 'max_combo', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 234: Lineup -> ['max_combo', 'random2', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 235: Lineup -> ['single_only', 'random2', 'random2']
[2025-09-09 22:59:25] [Population] Episode 236: Lineup -> ['single_only', 'single_only', 'random2']
[2025-09-09 22:59:25] [Population] Episode 237: Lineup -> ['random2', 'random2', 'random2']
[2025-09-09 22:59:25] [Population] Episode 238: Lineup -> ['random2', 'max_combo', 'single_only']
[2025-09-09 22:59:25] [Population] Episode 239: Lineup -> ['max_combo', 'single_only', 'random2']
[2025-09-09 22:59:25] [Population] Episode 240: Lineup -> ['single_only', 'single_only', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 241: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 242: Lineup -> ['max_combo', 'max_combo', 'single_only']
[2025-09-09 22:59:25] [Population] Episode 243: Lineup -> ['single_only', 'max_combo', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 244: Lineup -> ['max_combo', 'single_only', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 245: Lineup -> ['random2', 'max_combo', 'max_combo']
[2025-09-09 22:59:25] [Population] Episode 246: Lineup -> ['single_only', 'single_only', 'max_combo']
