episode,wall_s,steps,p0_transitions,p1_transitions,p2_transitions,p3_transitions,p0_train_calls,p1_train_calls,p2_train_calls,p3_train_calls,eps_p0,eps_p1,eps_p2,eps_p3
107,0.107761,68,21,18,13,16,21,18,13,16,0.1,0.1,0.1,0.1
108,0.133008,85,20,25,23,17,20,25,23,17,0.1,0.1,0.1,0.1
109,0.108314,69,12,18,22,17,12,18,22,17,0.1,0.1,0.1,0.1
110,0.106705,72,15,16,19,22,15,16,19,22,0.1,0.1,0.1,0.1
111,0.107122,72,19,15,17,21,19,15,17,21,0.1,0.1,0.1,0.1
112,0.104516,77,13,25,22,17,13,25,22,17,0.1,0.1,0.1,0.1
113,0.099685,75,17,18,19,21,17,18,19,21,0.1,0.1,0.1,0.1
114,0.095932,73,14,17,19,23,14,17,19,23,0.1,0.1,0.1,0.1
115,0.096519,73,15,19,18,21,15,19,18,21,0.1,0.1,0.1,0.1
116,0.092355,71,14,16,21,20,14,16,21,20,0.1,0.1,0.1,0.1
117,0.100451,77,17,20,21,19,17,20,21,19,0.1,0.1,0.1,0.1
118,0.098499,76,21,16,20,19,21,16,20,19,0.1,0.1,0.1,0.1
119,0.110595,77,18,21,23,15,18,21,23,15,0.1,0.1,0.1,0.1
120,0.066588,49,17,7,12,13,17,7,12,13,0.1,0.1,0.1,0.1
121,0.103302,74,21,14,19,20,21,14,19,20,0.1,0.1,0.1,0.1
122,0.106399,72,19,18,20,15,19,18,20,15,0.1,0.1,0.1,0.1
123,0.09504,73,17,21,19,16,17,21,19,16,0.1,0.1,0.1,0.1
124,0.10674,82,21,18,19,24,21,18,19,24,0.1,0.1,0.1,0.1
125,0.104033,79,15,20,23,21,15,20,23,21,0.1,0.1,0.1,0.1
126,0.108465,81,21,19,18,23,21,19,18,23,0.1,0.1,0.1,0.1
127,0.094765,71,17,18,21,15,17,18,21,15,0.1,0.1,0.1,0.1
128,0.100734,76,18,15,21,22,18,15,21,22,0.1,0.1,0.1,0.1
129,0.090938,67,16,17,20,14,16,17,20,14,0.1,0.1,0.1,0.1
130,0.091472,69,17,17,12,23,17,17,12,23,0.1,0.1,0.1,0.1
131,0.111476,74,13,15,25,21,13,15,25,21,0.1,0.1,0.1,0.1
132,0.116244,75,22,19,20,14,22,19,20,14,0.1,0.1,0.1,0.1
133,0.092301,70,18,11,19,22,18,11,19,22,0.1,0.1,0.1,0.1
134,0.106674,79,19,21,17,22,19,21,17,22,0.1,0.1,0.1,0.1
135,0.087104,68,13,15,19,21,13,15,19,21,0.1,0.1,0.1,0.1
136,0.107239,82,22,19,20,21,22,19,20,21,0.1,0.1,0.1,0.1
137,0.09573,72,19,15,21,17,19,15,21,17,0.1,0.1,0.1,0.1
138,0.09926,76,23,15,17,21,23,15,17,21,0.1,0.1,0.1,0.1
139,0.091328,69,18,20,15,16,18,20,15,16,0.1,0.1,0.1,0.1
140,0.100185,76,20,21,19,16,20,21,19,16,0.1,0.1,0.1,0.1
141,0.103346,78,22,16,19,21,22,16,19,21,0.1,0.1,0.1,0.1
142,0.126399,86,23,25,22,16,23,25,22,16,0.1,0.1,0.1,0.1
143,0.140851,75,19,22,16,18,19,22,16,18,0.1,0.1,0.1,0.1
144,0.123253,81,21,25,22,13,21,25,22,13,0.1,0.1,0.1,0.1
145,0.11766,74,19,14,20,21,19,14,20,21,0.1,0.1,0.1,0.1
146,0.119865,71,16,19,22,14,16,19,22,14,0.1,0.1,0.1,0.1
147,0.116022,79,16,18,23,22,16,18,23,22,0.1,0.1,0.1,0.1
148,0.109278,70,13,15,22,20,13,15,22,20,0.1,0.1,0.1,0.1
