episode,ep_length,ep_env_return
187,83.0,3.0
188,106.0,3.0
189,99.0,1.0
190,86.0,2.0
191,81.0,3.0
192,98.0,1.0
193,80.0,2.0
194,99.0,3.0
195,74.0,3.0
196,88.0,1.0
197,85.0,1.0
198,91.0,3.0
199,97.0,1.0
200,90.0,3.0
200,,
201,90.0,3.0
202,95.0,1.0
203,82.0,1.0
204,105.0,1.0
205,76.0,1.0
206,88.0,0.0
207,76.0,1.0
208,79.0,2.0
209,93.0,3.0
210,104.0,1.0
211,87.0,0.0
212,83.0,2.0
213,87.0,1.0
214,90.0,3.0
215,107.0,2.0
216,93.0,2.0
217,87.0,2.0
218,80.0,0.0
219,101.0,3.0
220,100.0,1.0
220,,
221,90.0,3.0
222,83.0,0.0
223,88.0,0.0
224,89.0,0.0
225,89.0,3.0
226,100.0,3.0
227,95.0,1.0
228,75.0,1.0
229,93.0,3.0
230,95.0,1.0
231,106.0,0.0
232,88.0,2.0
233,96.0,2.0
234,102.0,3.0
235,98.0,3.0
236,94.0,1.0
237,103.0,0.0
238,87.0,3.0
239,91.0,2.0
240,102.0,3.0
240,,
241,99.0,0.0
242,85.0,0.0
243,87.0,1.0
244,95.0,3.0
245,80.0,3.0
246,75.0,1.0
247,89.0,1.0
248,76.0,3.0
249,96.0,1.0
250,89.0,3.0
251,99.0,3.0
252,96.0,3.0
253,83.0,3.0
254,80.0,1.0
255,95.0,1.0
256,100.0,0.0
257,84.0,0.0
258,115.0,3.0
259,84.0,2.0
260,96.0,2.0
260,,
261,95.0,2.0
262,103.0,2.0
263,93.0,3.0
264,95.0,3.0
265,95.0,3.0
266,75.0,3.0
267,90.0,0.0
268,87.0,0.0
269,75.0,3.0
270,100.0,1.0
271,77.0,3.0
272,93.0,3.0
273,88.0,3.0
274,94.0,3.0
275,86.0,0.0
276,92.0,3.0
277,94.0,0.0
278,83.0,1.0
279,94.0,3.0
280,83.0,2.0
280,,
281,90.0,0.0
282,89.0,3.0
283,80.0,2.0
284,78.0,1.0
285,87.0,2.0
286,72.0,3.0
287,84.0,0.0
288,85.0,2.0
289,85.0,3.0
290,72.0,1.0
291,80.0,2.0
292,97.0,2.0
293,86.0,2.0
294,92.0,2.0
295,92.0,3.0
296,80.0,1.0
297,86.0,3.0
298,88.0,0.0
299,87.0,0.0
300,82.0,0.0
300,,
301,76.0,0.0
302,78.0,2.0
303,81.0,1.0
304,80.0,2.0
305,74.0,2.0
306,79.0,0.0
307,76.0,2.0
308,83.0,0.0
309,91.0,2.0
310,85.0,1.0
311,97.0,0.0
312,90.0,1.0
313,80.0,2.0
314,90.0,2.0
315,73.0,2.0
316,80.0,1.0
317,77.0,0.0
318,84.0,0.0
319,73.0,1.0
320,82.0,3.0
320,,
321,86.0,0.0
322,101.0,3.0
323,83.0,3.0
324,93.0,1.0
325,79.0,2.0
326,89.0,1.0
327,87.0,3.0
328,85.0,2.0
329,88.0,2.0
330,77.0,2.0
331,71.0,0.0
332,87.0,3.0
333,89.0,2.0
334,80.0,0.0
335,89.0,0.0
336,82.0,2.0
337,87.0,3.0
338,80.0,0.0
339,77.0,3.0
340,84.0,0.0
340,,
341,85.0,0.0
342,76.0,2.0
343,68.0,2.0
344,77.0,1.0
345,82.0,3.0
346,82.0,2.0
347,94.0,1.0
348,70.0,0.0
349,100.0,3.0
350,79.0,2.0
351,85.0,2.0
352,90.0,1.0
353,79.0,3.0
354,73.0,1.0
355,86.0,1.0
356,77.0,3.0
357,72.0,3.0
358,79.0,2.0
359,92.0,3.0
360,70.0,1.0
360,,
361,72.0,2.0
362,91.0,0.0
363,89.0,2.0
364,79.0,3.0
365,88.0,3.0
366,84.0,0.0
367,84.0,2.0
368,60.0,3.0
369,76.0,3.0
370,77.0,2.0
371,79.0,3.0
372,74.0,3.0
373,82.0,2.0
374,67.0,1.0
375,82.0,0.0
376,89.0,1.0
377,88.0,3.0
378,78.0,0.0
379,82.0,1.0
380,79.0,0.0
380,,
381,78.0,1.0
382,90.0,2.0
383,86.0,0.0
384,76.0,1.0
385,84.0,0.0
386,81.0,3.0
387,79.0,0.0
388,79.0,2.0
389,78.0,1.0
390,64.0,3.0
391,70.0,1.0
392,74.0,0.0
393,71.0,1.0
394,66.0,2.0
395,86.0,0.0
396,90.0,1.0
397,91.0,1.0
398,75.0,0.0
399,78.0,2.0
400,102.0,0.0
400,,
401,69.0,0.0
402,72.0,0.0
403,80.0,3.0
404,65.0,2.0
405,78.0,3.0
406,87.0,0.0
407,67.0,0.0
408,83.0,2.0
409,82.0,3.0
410,80.0,1.0
411,77.0,1.0
412,64.0,0.0
413,84.0,2.0
414,76.0,2.0
415,65.0,3.0
416,76.0,2.0
417,79.0,2.0
418,69.0,2.0
419,85.0,3.0
420,79.0,3.0
420,,
421,85.0,3.0
422,79.0,2.0
423,83.0,2.0
424,79.0,0.0
425,76.0,2.0
426,74.0,1.0
427,73.0,0.0
428,77.0,2.0
429,78.0,3.0
430,66.0,0.0
431,70.0,1.0
432,78.0,3.0
433,78.0,3.0
434,80.0,2.0
435,76.0,3.0
436,75.0,2.0
437,89.0,3.0
438,76.0,2.0
439,67.0,3.0
440,80.0,1.0
440,,
441,76.0,3.0
442,75.0,0.0
443,91.0,2.0
444,64.0,2.0
445,75.0,1.0
446,68.0,0.0
447,66.0,0.0
448,73.0,0.0
449,73.0,2.0
450,88.0,1.0
451,77.0,3.0
452,77.0,0.0
453,81.0,1.0
454,83.0,1.0
455,79.0,3.0
456,73.0,0.0
457,88.0,0.0
458,86.0,3.0
459,89.0,1.0
460,83.0,3.0
460,,
461,66.0,0.0
462,82.0,1.0
463,72.0,2.0
464,72.0,2.0
465,64.0,3.0
466,73.0,0.0
467,77.0,3.0
468,78.0,2.0
469,80.0,3.0
470,60.0,3.0
471,68.0,0.0
472,73.0,0.0
473,85.0,0.0
474,58.0,3.0
475,83.0,2.0
476,63.0,1.0
477,83.0,2.0
478,83.0,2.0
479,81.0,3.0
480,72.0,2.0
480,,
481,80.0,3.0
482,65.0,1.0
483,84.0,3.0
484,83.0,0.0
485,77.0,1.0
486,73.0,3.0
487,81.0,2.0
488,80.0,1.0
489,81.0,1.0
490,78.0,0.0
491,73.0,3.0
492,79.0,2.0
493,85.0,3.0
494,74.0,3.0
495,79.0,3.0
496,84.0,1.0
497,72.0,1.0
498,72.0,1.0
499,78.0,1.0
500,70.0,1.0
500,,
501,79.0,3.0
502,82.0,1.0
503,81.0,2.0
504,71.0,2.0
505,70.0,3.0
506,72.0,1.0
507,79.0,1.0
508,82.0,2.0
509,76.0,1.0
510,83.0,3.0
511,88.0,2.0
512,84.0,1.0
513,80.0,2.0
514,64.0,2.0
515,91.0,3.0
516,65.0,2.0
517,80.0,0.0
518,78.0,3.0
519,76.0,0.0
520,74.0,2.0
520,,
521,80.0,0.0
522,73.0,3.0
523,69.0,2.0
524,76.0,1.0
525,75.0,1.0
526,72.0,1.0
527,74.0,1.0
528,78.0,0.0
529,74.0,2.0
530,95.0,3.0
531,87.0,0.0
532,75.0,1.0
533,72.0,2.0
534,70.0,2.0
535,75.0,0.0
536,77.0,3.0
537,80.0,3.0
538,63.0,2.0
539,77.0,0.0
540,74.0,3.0
540,,
541,74.0,3.0
542,74.0,1.0
543,77.0,2.0
544,71.0,1.0
545,83.0,2.0
546,71.0,1.0
547,77.0,3.0
548,68.0,2.0
549,80.0,3.0
550,79.0,1.0
551,86.0,3.0
552,77.0,1.0
553,80.0,0.0
554,99.0,2.0
555,82.0,0.0
556,84.0,2.0
557,76.0,0.0
558,88.0,3.0
559,88.0,3.0
560,99.0,3.0
560,,
561,74.0,1.0
562,76.0,0.0
563,80.0,0.0
564,76.0,1.0
565,65.0,0.0
566,67.0,1.0
567,85.0,2.0
568,67.0,0.0
569,73.0,2.0
570,80.0,3.0
571,77.0,1.0
572,82.0,3.0
573,77.0,2.0
574,87.0,0.0
575,85.0,1.0
576,84.0,1.0
577,81.0,2.0
578,71.0,0.0
579,84.0,2.0
580,78.0,3.0
580,,
581,80.0,1.0
582,80.0,3.0
583,89.0,2.0
584,70.0,3.0
585,83.0,0.0
586,73.0,3.0
587,81.0,3.0
588,61.0,2.0
589,90.0,0.0
590,81.0,1.0
591,74.0,2.0
592,87.0,1.0
593,69.0,0.0
594,76.0,2.0
595,87.0,3.0
596,82.0,3.0
597,80.0,3.0
598,76.0,1.0
599,72.0,1.0
600,74.0,3.0
600,,
601,88.0,2.0
602,82.0,2.0
603,89.0,2.0
604,77.0,3.0
605,79.0,1.0
606,81.0,1.0
607,86.0,2.0
608,84.0,3.0
609,82.0,0.0
610,99.0,0.0
611,71.0,2.0
612,71.0,1.0
613,79.0,3.0
614,89.0,0.0
615,78.0,0.0
616,80.0,0.0
617,78.0,1.0
618,79.0,2.0
619,70.0,0.0
620,70.0,1.0
620,,
621,77.0,2.0
622,64.0,0.0
623,73.0,1.0
624,82.0,3.0
625,72.0,2.0
626,70.0,0.0
627,77.0,1.0
628,79.0,1.0
629,88.0,3.0
630,86.0,1.0
631,72.0,2.0
632,75.0,3.0
633,88.0,3.0
634,82.0,0.0
635,73.0,3.0
636,69.0,1.0
637,71.0,1.0
638,72.0,0.0
639,71.0,1.0
640,79.0,0.0
640,,
641,72.0,2.0
642,81.0,3.0
643,87.0,0.0
644,68.0,3.0
645,81.0,2.0
646,83.0,3.0
647,84.0,0.0
648,74.0,3.0
649,69.0,3.0
650,83.0,2.0
651,74.0,3.0
652,79.0,2.0
653,90.0,2.0
654,91.0,2.0
655,83.0,1.0
656,86.0,1.0
657,83.0,3.0
658,71.0,3.0
659,89.0,2.0
660,74.0,3.0
660,,
661,83.0,2.0
662,79.0,1.0
663,79.0,3.0
664,74.0,1.0
665,82.0,3.0
666,81.0,3.0
667,66.0,1.0
668,71.0,3.0
669,78.0,1.0
670,78.0,1.0
671,84.0,3.0
672,64.0,1.0
673,80.0,0.0
674,76.0,2.0
675,81.0,0.0
676,86.0,1.0
677,79.0,2.0
678,86.0,1.0
679,78.0,1.0
680,87.0,1.0
680,,
681,79.0,3.0
682,77.0,3.0
683,79.0,1.0
684,74.0,2.0
685,78.0,0.0
686,64.0,0.0
687,75.0,2.0
688,87.0,3.0
689,69.0,3.0
690,79.0,2.0
691,87.0,3.0
692,74.0,3.0
693,73.0,0.0
694,85.0,2.0
695,74.0,2.0
696,70.0,1.0
697,75.0,0.0
698,68.0,3.0
699,80.0,0.0
700,73.0,1.0
700,,
701,81.0,2.0
702,81.0,3.0
703,81.0,1.0
704,75.0,0.0
705,78.0,1.0
706,82.0,0.0
707,69.0,2.0
708,59.0,2.0
709,81.0,3.0
710,82.0,0.0
711,77.0,3.0
712,69.0,1.0
713,72.0,2.0
714,72.0,1.0
715,78.0,0.0
716,84.0,0.0
717,87.0,1.0
718,80.0,1.0
719,71.0,3.0
720,85.0,3.0
720,,
721,91.0,0.0
722,69.0,1.0
723,70.0,2.0
724,86.0,2.0
725,76.0,3.0
726,88.0,1.0
727,93.0,1.0
728,63.0,1.0
729,85.0,0.0
730,83.0,2.0
731,76.0,3.0
732,76.0,2.0
733,79.0,0.0
734,69.0,3.0
735,77.0,2.0
736,84.0,3.0
737,81.0,3.0
738,77.0,3.0
739,84.0,3.0
740,75.0,2.0
740,,
741,96.0,2.0
742,94.0,2.0
743,89.0,0.0
744,79.0,0.0
745,74.0,1.0
746,75.0,1.0
747,73.0,1.0
748,81.0,3.0
749,82.0,2.0
750,82.0,2.0
751,93.0,2.0
752,71.0,0.0
753,80.0,2.0
754,88.0,1.0
755,75.0,1.0
756,73.0,3.0
757,67.0,2.0
758,80.0,0.0
759,71.0,1.0
760,82.0,2.0
760,,
761,68.0,2.0
762,82.0,3.0
763,82.0,0.0
764,81.0,1.0
765,69.0,2.0
766,69.0,1.0
767,65.0,2.0
768,69.0,1.0
769,75.0,2.0
770,79.0,3.0
771,80.0,2.0
772,72.0,3.0
773,81.0,3.0
774,74.0,1.0
775,75.0,3.0
776,83.0,1.0
777,82.0,2.0
778,85.0,0.0
779,90.0,1.0
780,65.0,0.0
780,,
781,86.0,2.0
782,68.0,3.0
783,73.0,1.0
784,76.0,2.0
785,83.0,0.0
786,71.0,0.0
787,70.0,0.0
788,76.0,3.0
789,72.0,0.0
790,85.0,3.0
791,73.0,1.0
792,70.0,0.0
793,76.0,3.0
794,77.0,3.0
795,76.0,1.0
796,75.0,2.0
797,79.0,1.0
798,79.0,2.0
799,67.0,2.0
800,76.0,1.0
800,,
801,77.0,3.0
802,83.0,3.0
803,80.0,3.0
804,74.0,0.0
805,93.0,3.0
806,75.0,0.0
807,68.0,0.0
808,78.0,0.0
809,77.0,3.0
810,79.0,2.0
811,71.0,1.0
812,82.0,2.0
813,72.0,2.0
814,77.0,0.0
815,65.0,3.0
816,63.0,2.0
817,87.0,0.0
818,78.0,1.0
819,95.0,1.0
820,71.0,0.0
820,,
821,83.0,1.0
822,73.0,1.0
823,75.0,0.0
824,65.0,3.0
825,84.0,0.0
826,80.0,3.0
827,60.0,0.0
828,74.0,1.0
829,73.0,3.0
830,84.0,1.0
831,72.0,3.0
832,80.0,1.0
833,74.0,3.0
834,81.0,1.0
835,77.0,3.0
836,71.0,3.0
837,81.0,0.0
838,90.0,3.0
839,81.0,2.0
840,85.0,3.0
840,,
841,72.0,0.0
842,73.0,0.0
843,77.0,3.0
844,72.0,3.0
845,77.0,3.0
846,68.0,2.0
847,85.0,3.0
848,61.0,0.0
849,70.0,3.0
850,77.0,2.0
851,74.0,1.0
852,77.0,3.0
853,64.0,1.0
854,78.0,3.0
855,76.0,2.0
856,83.0,0.0
857,74.0,3.0
858,93.0,3.0
859,72.0,3.0
860,87.0,3.0
860,,
861,75.0,0.0
862,72.0,2.0
863,78.0,1.0
864,71.0,3.0
865,72.0,2.0
866,75.0,2.0
867,69.0,1.0
868,77.0,1.0
869,86.0,1.0
870,85.0,2.0
871,59.0,1.0
872,73.0,1.0
873,82.0,2.0
874,80.0,3.0
875,71.0,0.0
876,75.0,3.0
877,84.0,1.0
878,78.0,1.0
879,80.0,0.0
880,78.0,2.0
880,,
881,77.0,2.0
882,77.0,0.0
883,85.0,1.0
884,75.0,1.0
885,75.0,2.0
886,74.0,2.0
887,83.0,3.0
888,76.0,0.0
889,83.0,0.0
890,73.0,2.0
891,77.0,2.0
892,75.0,2.0
893,77.0,1.0
894,78.0,0.0
895,77.0,1.0
896,79.0,1.0
897,79.0,2.0
898,74.0,3.0
899,78.0,0.0
900,78.0,2.0
900,,
901,75.0,1.0
902,85.0,1.0
903,85.0,0.0
904,72.0,2.0
905,77.0,3.0
906,74.0,0.0
907,76.0,2.0
908,71.0,3.0
909,77.0,0.0
910,79.0,0.0
911,69.0,2.0
912,74.0,0.0
913,96.0,2.0
914,74.0,0.0
915,72.0,3.0
916,87.0,1.0
917,66.0,1.0
918,78.0,0.0
919,77.0,1.0
920,77.0,0.0
920,,
921,85.0,0.0
922,87.0,3.0
923,70.0,1.0
924,97.0,0.0
925,76.0,0.0
926,86.0,2.0
927,68.0,1.0
928,85.0,0.0
929,81.0,2.0
930,75.0,0.0
931,71.0,3.0
932,83.0,2.0
933,71.0,3.0
934,82.0,2.0
935,75.0,0.0
936,82.0,2.0
937,70.0,3.0
938,83.0,1.0
939,72.0,1.0
940,83.0,0.0
940,,
941,80.0,3.0
942,64.0,3.0
943,78.0,2.0
944,74.0,2.0
945,67.0,2.0
946,81.0,1.0
947,88.0,2.0
948,87.0,2.0
949,95.0,3.0
950,83.0,0.0
951,89.0,3.0
952,87.0,1.0
953,83.0,0.0
954,78.0,2.0
955,80.0,3.0
956,77.0,3.0
957,81.0,0.0
958,83.0,2.0
959,78.0,2.0
960,86.0,2.0
960,,
961,76.0,2.0
962,87.0,1.0
963,78.0,1.0
964,79.0,1.0
965,77.0,2.0
966,83.0,0.0
967,80.0,0.0
968,85.0,2.0
969,78.0,2.0
970,82.0,1.0
971,81.0,1.0
972,75.0,3.0
973,71.0,1.0
974,73.0,0.0
975,82.0,0.0
976,88.0,1.0
977,78.0,3.0
978,76.0,1.0
979,77.0,3.0
980,99.0,2.0
980,,
981,74.0,0.0
982,74.0,2.0
983,81.0,1.0
984,74.0,3.0
985,75.0,2.0
986,78.0,2.0
987,81.0,2.0
988,83.0,1.0
989,80.0,3.0
990,78.0,0.0
991,71.0,1.0
992,78.0,3.0
993,70.0,3.0
994,74.0,2.0
995,86.0,1.0
996,82.0,3.0
997,75.0,1.0
998,73.0,2.0
999,65.0,3.0
1000,80.0,3.0
1000,,
1001,77.0,2.0
1002,81.0,3.0
1003,68.0,3.0
1004,77.0,3.0
1005,68.0,1.0
1006,73.0,1.0
1007,75.0,0.0
1008,84.0,2.0
1009,73.0,2.0
1010,81.0,1.0
1011,75.0,0.0
1012,72.0,1.0
1013,80.0,2.0
1014,82.0,2.0
1015,76.0,1.0
1016,71.0,3.0
1017,94.0,3.0
1018,73.0,0.0
1019,83.0,0.0
1020,73.0,1.0
1020,,
1021,87.0,1.0
1022,71.0,0.0
1023,79.0,2.0
1024,81.0,2.0
1025,83.0,3.0
1026,82.0,2.0
1027,82.0,1.0
1028,86.0,3.0
1029,78.0,0.0
1030,76.0,2.0
1031,82.0,1.0
1032,83.0,1.0
1033,81.0,0.0
1034,78.0,1.0
1035,85.0,3.0
1036,87.0,0.0
1037,78.0,1.0
1038,78.0,2.0
1039,73.0,1.0
1040,93.0,0.0
1040,,
1041,65.0,1.0
1042,68.0,3.0
1043,85.0,3.0
1044,73.0,1.0
1045,78.0,1.0
1046,73.0,0.0
1047,84.0,3.0
1048,71.0,1.0
1049,88.0,2.0
1050,77.0,0.0
1051,90.0,0.0
1052,75.0,3.0
1053,89.0,3.0
1054,73.0,3.0
1055,89.0,2.0
1056,77.0,0.0
1057,79.0,1.0
1058,82.0,3.0
1059,76.0,2.0
1060,79.0,3.0
1060,,
1061,96.0,3.0
1062,75.0,3.0
1063,72.0,3.0
1064,81.0,2.0
1065,83.0,0.0
1066,86.0,3.0
1067,82.0,0.0
1068,76.0,2.0
1069,74.0,3.0
1070,76.0,1.0
1071,90.0,2.0
1072,84.0,2.0
1073,78.0,3.0
1074,79.0,2.0
1075,70.0,2.0
1076,63.0,3.0
1077,67.0,1.0
1078,76.0,2.0
1079,85.0,2.0
1080,73.0,2.0
1080,,
1081,80.0,2.0
1082,82.0,2.0
1083,80.0,2.0
1084,88.0,3.0
1085,80.0,2.0
1086,74.0,3.0
1087,71.0,1.0
1088,73.0,1.0
1089,83.0,1.0
1090,70.0,0.0
1091,85.0,3.0
1092,66.0,1.0
1093,81.0,0.0
1094,69.0,3.0
1095,68.0,0.0
1096,91.0,0.0
1097,82.0,0.0
1098,83.0,1.0
1099,84.0,2.0
1100,86.0,0.0
1100,,
1101,78.0,1.0
1102,75.0,1.0
1103,89.0,3.0
1104,84.0,1.0
1105,86.0,0.0
1106,80.0,2.0
1107,80.0,1.0
1108,78.0,1.0
1109,89.0,3.0
1110,76.0,3.0
1111,79.0,2.0
1112,78.0,1.0
1113,67.0,1.0
1114,84.0,0.0
1115,95.0,0.0
1116,69.0,0.0
1117,72.0,0.0
1118,82.0,3.0
1119,83.0,0.0
1120,82.0,2.0
1120,,
1121,80.0,1.0
1122,84.0,0.0
1123,78.0,1.0
1124,83.0,0.0
1125,92.0,1.0
1126,77.0,3.0
1127,79.0,3.0
1128,80.0,3.0
1129,80.0,0.0
1130,84.0,1.0
1131,80.0,1.0
1132,79.0,3.0
1133,72.0,0.0
1134,55.0,0.0
1135,90.0,3.0
1136,74.0,0.0
1137,78.0,1.0
1138,71.0,3.0
1139,74.0,3.0
1140,81.0,2.0
1140,,
1141,80.0,3.0
1142,78.0,1.0
1143,68.0,0.0
1144,74.0,0.0
1145,73.0,1.0
1146,62.0,2.0
1147,74.0,0.0
1148,81.0,0.0
1149,70.0,0.0
1150,79.0,1.0
1151,89.0,1.0
1152,60.0,1.0
1153,75.0,3.0
1154,69.0,2.0
1155,76.0,1.0
1156,80.0,2.0
1157,83.0,1.0
1158,72.0,1.0
1159,75.0,2.0
1160,74.0,2.0
1160,,
1161,76.0,3.0
1162,76.0,0.0
1163,79.0,3.0
1164,79.0,2.0
1165,66.0,1.0
1166,86.0,3.0
1167,70.0,2.0
1168,80.0,2.0
1169,77.0,3.0
1170,82.0,0.0
1171,71.0,3.0
1172,85.0,3.0
1173,74.0,3.0
1174,77.0,1.0
1175,80.0,2.0
1176,67.0,0.0
1177,83.0,2.0
1178,72.0,2.0
1179,72.0,3.0
1180,80.0,3.0
1180,,
1181,64.0,2.0
1182,86.0,3.0
1183,79.0,2.0
1184,83.0,1.0
1185,84.0,1.0
1186,73.0,0.0
1187,79.0,1.0
1188,85.0,0.0
1189,79.0,1.0
1190,71.0,1.0
1191,66.0,1.0
1192,74.0,3.0
1193,78.0,0.0
1194,77.0,1.0
1195,83.0,0.0
1196,72.0,0.0
1197,82.0,1.0
1198,85.0,1.0
1199,86.0,0.0
1200,77.0,1.0
1200,,
1201,84.0,3.0
1202,68.0,1.0
1203,75.0,0.0
1204,85.0,0.0
1205,72.0,3.0
1206,73.0,1.0
1207,87.0,0.0
1208,77.0,1.0
1209,89.0,1.0
1210,82.0,0.0
1211,80.0,1.0
1212,84.0,3.0
1213,89.0,0.0
1214,66.0,2.0
1215,81.0,1.0
1216,85.0,2.0
1217,78.0,2.0
1218,66.0,0.0
1219,75.0,0.0
1220,77.0,0.0
1220,,
1221,78.0,0.0
1222,79.0,0.0
1223,85.0,3.0
1224,76.0,3.0
1225,75.0,3.0
1226,81.0,3.0
1227,89.0,1.0
1228,76.0,0.0
1229,79.0,2.0
1230,82.0,1.0
1231,75.0,0.0
1232,76.0,2.0
1233,81.0,1.0
1234,78.0,3.0
1235,73.0,3.0
1236,76.0,0.0
1237,70.0,2.0
1238,81.0,2.0
1239,83.0,1.0
1240,79.0,0.0
1240,,
1241,71.0,1.0
1242,74.0,2.0
1243,74.0,1.0
1244,72.0,3.0
1245,82.0,3.0
1246,80.0,3.0
1247,82.0,3.0
1248,67.0,1.0
1249,85.0,1.0
1250,77.0,0.0
1251,82.0,1.0
1252,70.0,1.0
1253,77.0,3.0
1254,88.0,3.0
1255,86.0,2.0
1256,71.0,2.0
1257,78.0,2.0
1258,75.0,3.0
1259,86.0,1.0
1260,71.0,1.0
1260,,
1261,66.0,2.0
1262,80.0,1.0
1263,74.0,2.0
1264,87.0,0.0
1265,76.0,1.0
1266,84.0,3.0
1267,60.0,3.0
1268,73.0,0.0
1269,85.0,3.0
1270,82.0,0.0
1271,78.0,3.0
1272,85.0,0.0
1273,69.0,1.0
1274,80.0,3.0
1275,81.0,2.0
1276,81.0,1.0
1277,70.0,3.0
1278,87.0,3.0
1279,81.0,2.0
1280,70.0,3.0
1280,,
1281,80.0,0.0
1282,81.0,2.0
1283,70.0,2.0
1284,77.0,1.0
1285,78.0,3.0
1286,74.0,2.0
1287,71.0,0.0
1288,76.0,2.0
1289,73.0,3.0
1290,74.0,0.0
1291,83.0,0.0
1292,85.0,3.0
1293,80.0,0.0
1294,69.0,3.0
1295,76.0,3.0
1296,70.0,3.0
1297,79.0,0.0
1298,73.0,0.0
1299,84.0,3.0
1300,76.0,0.0
1300,,
1301,68.0,2.0
1302,79.0,0.0
1303,77.0,1.0
1304,83.0,0.0
1305,83.0,2.0
1306,71.0,2.0
1307,78.0,1.0
1308,78.0,1.0
1309,82.0,2.0
1310,87.0,2.0
1311,81.0,3.0
1312,65.0,2.0
1313,75.0,3.0
1314,93.0,3.0
1315,71.0,1.0
1316,85.0,3.0
1317,81.0,3.0
1318,76.0,0.0
1319,85.0,3.0
1320,67.0,3.0
1320,,
1321,70.0,1.0
1322,78.0,3.0
1323,67.0,0.0
1324,81.0,2.0
1325,74.0,2.0
1326,84.0,3.0
1327,74.0,3.0
1328,78.0,0.0
1329,88.0,1.0
1330,64.0,1.0
1331,69.0,2.0
1332,91.0,1.0
1333,81.0,2.0
1334,82.0,3.0
1335,79.0,2.0
