episode,wall_s,steps,p0_transitions,train_calls,epsilon
254,0.021982,66,17,17,0.1
255,0.035094,80,23,23,0.1
256,0.030045,71,20,20,0.1
257,0.02148,62,16,16,0.1
258,0.0277,81,22,22,0.1
259,0.021233,71,17,17,0.1
260,0.032576,95,27,27,0.1
261,0.021253,69,17,17,0.1
262,0.022335,79,18,18,0.1
263,0.028778,84,24,24,0.1
264,0.027261,82,23,23,0.1
265,0.023195,69,19,19,0.1
266,0.025993,68,18,18,0.1
267,0.037311,80,23,23,0.1
268,0.037429,72,19,19,0.1
269,0.026239,66,17,17,0.1
270,0.026047,76,20,20,0.1
271,0.027997,72,21,21,0.1
272,0.033336,76,22,22,0.1
273,0.034826,96,23,23,0.1
274,0.035957,87,24,24,0.1
275,0.032953,83,22,22,0.1
276,0.032331,62,22,22,0.1
277,0.022566,78,16,16,0.1
278,0.023639,67,19,19,0.1
279,0.030928,80,23,23,0.1
280,0.026265,78,18,18,0.1
281,0.035189,72,23,23,0.1
282,0.025371,80,19,19,0.1
283,0.024337,72,18,18,0.1
284,0.021623,69,16,16,0.1
285,0.023495,73,18,18,0.1
286,0.026392,75,20,20,0.1
287,0.029759,76,22,22,0.1
288,0.019502,73,14,14,0.1
289,0.019192,65,14,14,0.1
290,0.028837,70,21,21,0.1
291,0.039211,73,24,24,0.1
292,0.018537,70,13,13,0.1
293,0.02363,82,18,18,0.1
294,0.026384,73,18,18,0.1
295,0.036606,75,23,23,0.1
296,0.022345,64,15,15,0.1
297,0.028668,73,20,20,0.1
298,0.03713,79,24,24,0.1
299,0.034046,77,24,24,0.1
300,0.019165,71,15,15,0.1
301,0.02666,71,21,21,0.1
302,0.025535,68,19,19,0.1
303,0.022819,81,18,18,0.1
304,0.021827,70,16,16,0.1
305,0.025515,75,20,20,0.1
306,0.021113,72,12,12,0.1
307,0.027467,65,21,21,0.1
308,0.026124,82,20,20,0.1
309,0.019451,69,14,14,0.1
310,0.023011,70,18,18,0.1
311,0.028904,80,23,23,0.1
312,0.0241,74,19,19,0.1
313,0.027409,76,22,22,0.1
314,0.026135,69,21,21,0.1
315,0.027554,83,22,22,0.1
316,0.020152,83,16,16,0.1
317,0.030816,77,24,24,0.1
318,0.025571,57,17,17,0.1
319,0.02866,65,21,21,0.1
320,0.028521,72,21,21,0.1
321,0.029554,80,22,22,0.1
322,0.030229,82,23,23,0.1
323,0.024675,72,19,19,0.1
324,0.020533,73,15,15,0.1
325,0.035902,68,23,23,0.1
326,0.02738,72,21,21,0.1
327,0.027895,81,21,21,0.1
328,0.033954,76,22,22,0.1
329,0.031181,80,23,23,0.1
330,0.021003,66,16,16,0.1
331,0.029496,89,23,23,0.1
332,0.02454,76,18,18,0.1
333,0.021939,71,17,17,0.1
334,0.02562,71,18,18,0.1
335,0.029547,78,21,21,0.1
336,0.024611,78,18,18,0.1
337,0.019178,68,14,14,0.1
338,0.028465,71,21,21,0.1
339,0.025525,73,19,19,0.1
340,0.029922,73,21,21,0.1
341,0.034798,78,22,22,0.1
342,0.024227,65,19,19,0.1
343,0.02841,68,22,22,0.1
344,0.026822,72,21,21,0.1
345,0.028305,75,22,22,0.1
346,0.027285,74,21,21,0.1
347,0.023287,78,18,18,0.1
348,0.028748,69,20,20,0.1
349,0.02601,73,19,19,0.1
350,0.022804,64,18,18,0.1
351,0.027111,69,21,21,0.1
352,0.029099,79,23,23,0.1
353,0.0224,80,17,17,0.1
354,0.028505,85,21,21,0.1
355,0.029237,75,18,18,0.1
356,0.033607,78,23,23,0.1
357,0.02557,76,19,19,0.1
358,0.024242,77,18,18,0.1
359,0.024985,81,19,19,0.1
360,0.02476,70,19,19,0.1
361,0.024841,70,19,19,0.1
362,0.022985,59,18,18,0.1
363,0.028201,83,22,22,0.1
364,0.024453,78,19,19,0.1
365,0.021272,66,16,16,0.1
366,0.027681,81,21,21,0.1
367,0.028642,86,22,22,0.1
368,0.025695,68,20,20,0.1
369,0.019884,69,15,15,0.1
370,0.028488,80,22,22,0.1
371,0.023967,62,18,18,0.1
372,0.036518,82,23,23,0.1
373,0.024445,68,15,15,0.1
374,0.02629,73,20,20,0.1
375,0.021103,67,16,16,0.1
376,0.030065,76,23,23,0.1
377,0.018478,72,14,14,0.1
378,0.038595,80,24,24,0.1
379,0.032567,62,21,21,0.1
380,0.031985,70,21,21,0.1
381,0.036497,83,24,24,0.1
382,0.033271,79,22,22,0.1
383,0.028574,72,19,19,0.1
384,0.030754,59,17,17,0.1
385,0.032278,72,22,22,0.1
386,0.032141,82,21,21,0.1
387,0.040899,91,24,24,0.1
388,0.073208,83,24,24,0.1
389,0.028087,76,16,16,0.1
390,0.027787,72,18,18,0.1
391,0.039315,68,25,25,0.1
392,0.041157,89,20,20,0.1
393,0.046386,84,25,25,0.1
394,0.027435,73,16,16,0.1
395,0.038554,73,23,23,0.1
396,0.027945,83,16,16,0.1
397,0.029073,75,17,17,0.1
398,0.032894,75,19,19,0.1
399,0.022237,73,13,13,0.1
400,0.040454,74,21,21,0.1
401,0.038453,89,22,22,0.1
402,0.035156,74,21,21,0.1
403,0.041578,85,24,24,0.1
404,0.032782,66,20,20,0.1
405,0.041129,74,26,26,0.1
406,0.026366,74,16,16,0.1
407,0.035871,77,19,19,0.1
408,0.052693,81,23,23,0.1
409,0.032076,74,16,16,0.1
410,0.048563,76,18,18,0.1
411,0.045927,67,20,20,0.1
412,0.07814,78,24,24,0.1
413,0.051424,79,22,22,0.1
414,0.045932,80,21,21,0.1
415,0.038463,82,22,22,0.1
416,0.037636,84,23,23,0.1
417,0.025635,72,17,17,0.1
418,0.031473,71,19,19,0.1
419,0.037813,89,21,21,0.1
420,0.02931,71,19,19,0.1
421,0.025395,70,18,18,0.1
422,0.018654,71,13,13,0.1
423,0.029262,79,20,20,0.1
424,0.030075,60,21,21,0.1
425,0.021898,72,16,16,0.1
426,0.029808,81,22,22,0.1
427,0.030895,76,23,23,0.1
428,0.027643,79,20,20,0.1
429,0.029931,72,15,15,0.1
430,0.028726,69,17,17,0.1
431,0.026536,71,14,14,0.1
432,0.032737,61,20,20,0.1
433,0.042924,79,22,22,0.1
434,0.039363,72,20,20,0.1
435,0.037879,70,18,18,0.1
436,0.032201,69,17,17,0.1
437,0.038053,72,25,25,0.1
438,0.04199,69,24,24,0.1
439,0.029586,77,22,22,0.1
440,0.026786,74,21,21,0.1
441,0.026102,77,20,20,0.1
442,0.020884,74,16,16,0.1
443,0.030471,79,20,20,0.1
444,0.02378,75,15,15,0.1
445,0.033912,81,22,22,0.1
446,0.025137,59,13,13,0.1
447,0.038586,76,18,18,0.1
448,0.02339,67,14,14,0.1
449,0.034223,73,22,22,0.1
450,0.027168,76,19,19,0.1
451,0.032535,82,20,20,0.1
452,0.041901,75,19,19,0.1
453,0.032562,73,18,18,0.1
454,0.031643,75,18,18,0.1
455,0.029397,78,17,17,0.1
456,0.032752,75,20,20,0.1
457,0.034638,76,20,20,0.1
458,0.034295,78,21,21,0.1
459,0.02876,59,18,18,0.1
460,0.034224,85,21,21,0.1
461,0.031766,76,20,20,0.1
462,0.039291,82,24,24,0.1
463,0.037681,74,23,23,0.1
464,0.027446,76,17,17,0.1
465,0.029479,68,19,19,0.1
466,0.028269,78,21,21,0.1
467,0.028652,62,21,21,0.1
468,0.030094,76,20,20,0.1
469,0.037428,74,20,20,0.1
470,0.029438,84,20,20,0.1
471,0.02969,82,20,20,0.1
472,0.033247,73,23,23,0.1
473,0.023371,75,16,16,0.1
474,0.011824,52,8,8,0.1
475,0.033397,80,23,23,0.1
476,0.02939,64,20,20,0.1
477,0.037664,71,21,21,0.1
478,0.034481,81,19,19,0.1
479,0.034963,72,20,20,0.1
480,0.044505,87,23,23,0.1
481,0.138315,86,23,23,0.1
482,0.049346,75,21,21,0.1
483,0.038106,81,21,21,0.1
484,0.029022,72,16,16,0.1
485,0.03952,72,20,20,0.1
486,0.034201,60,19,19,0.1
487,0.029243,65,17,17,0.1
488,0.082967,82,22,22,0.1
489,0.046803,82,25,25,0.1
490,0.03955,73,20,20,0.1
491,0.037181,79,21,21,0.1
492,0.044891,74,26,26,0.1
493,0.038157,78,21,21,0.1
494,0.030971,67,17,17,0.1
495,0.052993,71,21,21,0.1
496,0.033107,67,13,13,0.1
497,0.039201,69,19,19,0.1
498,0.040787,64,19,19,0.1
499,0.033554,65,18,18,0.1
500,0.036173,82,20,20,0.1
501,0.041053,74,25,25,0.1
502,0.037447,76,20,20,0.1
503,0.026568,77,15,15,0.1
504,0.032354,64,17,17,0.1
505,0.029052,62,16,16,0.1
506,0.040947,88,21,21,0.1
507,0.042096,82,24,24,0.1
508,0.027746,66,16,16,0.1
509,0.034656,87,22,22,0.1
510,0.03444,79,22,22,0.1
511,0.036103,77,25,25,0.1
512,0.029087,73,20,20,0.1
513,0.030709,71,21,21,0.1
514,0.034079,80,23,23,0.1
515,0.025524,74,15,15,0.1
516,0.04039,69,24,24,0.1
517,0.034384,71,21,21,0.1
518,0.026472,65,16,16,0.1
